X	fragments	sample
8x41	29435	Bladder111
18x43	5725	Bladder111
46x66	25033	Bladder111
20x62	12218	Bladder111
3x48	57556	Bladder111
31x8	12621	Bladder111
32x67	19025	Bladder111
72x20	31234	Bladder111
39x19	63421	Bladder111
16x53	13822	Bladder111
22x12	30855	Bladder111
39x17	69812	Bladder111
58x19	42886	Bladder111
2x5	56870	Bladder111
43x42	62441	Bladder111
43x12	49936	Bladder111
72x44	26420	Bladder111
2x30	47916	Bladder111
16x62	10945	Bladder111
53x12	45180	Bladder111
22x60	10825	Bladder111
2x65	15667	Bladder111
64x31	40467	Bladder111
37x36	68671	Bladder111
52x64	13697	Bladder111
57x3	47879	Bladder111
27x35	18394	Bladder111
30x53	15814	Bladder111
72x32	79429	Bladder111
31x2	22547	Bladder111
63x70	14224	Bladder111
72x41	29087	Bladder111
15x3	17838	Bladder111
26x15	35364	Bladder111
36x4	12284	Bladder111
9x55	24856	Bladder111
53x3	29817	Bladder111
30x57	8726	Bladder111
4x18	66180	Bladder111
31x44	23582	Bladder111
44x14	71050	Bladder111
50x10	37916	Bladder111
62x50	35407	Bladder111
47x19	44991	Bladder111
